ncbi_taxon_id,relative_abundance,scientific_name
853,22.6048,Faecalibacterium prausnitzii
39491,10.8031,[Eubacterium] rectale
28117,10.2782,Alistipes putredinis
47678,10.0046,Bacteroides caccae
2053618,8.91547,Unknown
821,7.48198,Bacteroides vulgatus
46503,5.15341,Parabacteroides merdae
820,4.79879,Bacteroides uniformis
246787,3.23678,Bacteroides cellulosilyticus
33039,2.59831,[Ruminococcus] torques
40519,1.84682,Ruminococcus callidus
487174,1.72005,Barnesiella intestinihominis
328814,1.56287,Alistipes shahii
28116,1.30247,Bacteroides ovatus
40545,1.28633,Sutterella wadsworthensis
1945593,1.15197,Unknown
28118,0.63178,Odoribacter splanchnicus
410072,0.57322,Coprococcus comes
818,0.45535,Bacteroides thetaiotaomicron
39485,0.44438,[Eubacterium] eligens
552398,0.43331,Ruminococcaceae bacterium D16
2049040,0.33684,Unknown
28026,0.296,Bifidobacterium pseudocatenulatum
1535,0.25509,[Clostridium] leptum
39496,0.25237,Eubacterium ventriosum
166486,0.1929,Roseburia intestinalis
39488,0.14405,[Eubacterium] hallii
169435,0.13429,Anaerotruncus colihominis
665950,0.132,Lachnospiraceae bacterium 3_1_46FAA
214856,0.12314,Alistipes finegoldii
39486,0.10285,Dorea formicigenerans
46228,0.09513,Ruminococcus lactaris
658087,0.08829,Lachnospiraceae bacterium 7_1_58FAA
562,0.0831,Escherichia coli
1308,0.07799,Streptococcus thermophilus
360807,0.06071,Roseburia inulinivorans
74426,0.05948,Collinsella aerofaciens
446660,0.05072,Adlercreutzia equolifaciens
658089,0.0387,Lachnospiraceae bacterium 5_1_63FAA
292800,0.03232,Flavonifractor plautii
469614,0.03089,Erysipelotrichaceae bacterium 6_1_45
216816,0.02901,Bifidobacterium longum
301301,0.01933,Roseburia hominis
1680,0.01266,Bifidobacterium adolescentis
333367,0.01162,[Clostridium] asparagiforme
40520,0.01087,Blautia obeum
649756,0.01033,Anaerostipes hadrus
487175,0.00985,Parasutterella excrementihominis
28130,0.00826,Prevotella disiens
61171,0.00822,Holdemania filiformis
88431,0.00368,Dorea longicatena
116085,0.00212,Coprococcus catus
1926307,0.00132,Unknown
154046,0.00115,Hungatella hathewayi
1264,0.00068,Ruminococcus albus
-1,3e-05,Unknown
