ncbi_taxon_id,relative_abundance,scientific_name
487174,12.2196,Barnesiella intestinihominis
45851,11.4022,Butyrivibrio crossotus
853,11.0049,Faecalibacterium prausnitzii
165179,6.41159,Prevotella copri
47678,6.22949,Bacteroides caccae
821,6.07262,Bacteroides vulgatus
39491,5.0112,[Eubacterium] rectale
204516,4.59179,Bacteroides massiliensis
2053618,4.50835,Unknown
28117,3.51542,Alistipes putredinis
360807,2.45968,Roseburia inulinivorans
328814,2.32644,Alistipes shahii
328812,1.92188,Parabacteroides goldsteinii
357276,1.75564,Bacteroides dorei
166486,1.75554,Roseburia intestinalis
39492,1.60899,[Eubacterium] siraeum
817,1.56253,Bacteroides fragilis
674529,1.53506,Bacteroides faecis
40545,1.49557,Sutterella wadsworthensis
820,1.34746,Bacteroides uniformis
33039,1.19857,[Ruminococcus] torques
751585,1.05231,Coprococcus sp. ART55/1
1869337,0.92968,Unknown
818,0.78419,Bacteroides thetaiotaomicron
1211813,0.68661,Candidatus Alistipes marseilloanorexicus AP11
28118,0.66571,Odoribacter splanchnicus
2049033,0.64314,Unknown
246787,0.5976,Bacteroides cellulosilyticus
39485,0.44168,[Eubacterium] eligens
28116,0.41949,Bacteroides ovatus
301301,0.39979,Roseburia hominis
665950,0.38891,Lachnospiraceae bacterium 3_1_46FAA
40518,0.38582,Ruminococcus bromii
1118061,0.35487,Alistipes obesi
214856,0.32887,Alistipes finegoldii
158847,0.30275,Megamonas hypermegale
28111,0.28757,Bacteroides eggerthii
39496,0.27069,Eubacterium ventriosum
46228,0.20947,Ruminococcus lactaris
626933,0.14699,Odoribacter laneus
328813,0.13055,Alistipes onderdonkii
1161942,0.11208,Ruminococcus champanellensis
291645,0.10716,Bacteroides nordii
626932,0.07603,Alistipes indistinctus
1945593,0.05144,Unknown
658087,0.04984,Lachnospiraceae bacterium 7_1_58FAA
329854,0.03927,Bacteroides intestinalis
40520,0.03274,Blautia obeum
39486,0.0307,Dorea formicigenerans
1099853,0.02213,Coprobacter fastidiosus
491921,0.02164,Megamonas rupellensis
658089,0.01613,Lachnospiraceae bacterium 5_1_63FAA
39488,0.01289,[Eubacterium] hallii
1288121,0.01133,Alistipes senegalensis
88431,0.01011,Dorea longicatena
74426,0.00805,Collinsella aerofaciens
1735,0.00804,Holdemanella biformis
729,0.00478,Haemophilus parainfluenzae
371601,0.00196,Bacteroides xylanisolvens
-1,0.02237,Unknown
